prompt_idx,site,branch,site_pos,branch_pos,q,rho,cos
6,layer_1_mha_output_out,layer_1_mha_output_out,1,1,1.0,Inf,NaN
6,layer_1_mha_output_out,layer_1_mlp_out,1,2,0.5904048283200526,1.150744717996385,-0.2307607535401778
6,layer_1_mha_output_out,layer_2_mha_output_out,1,3,0.13803283652695064,0.4056226084132141,-0.012894392548978163
6,layer_1_mha_output_out,layer_2_mlp_out,1,4,0.35866651067137023,0.8134234581556885,-0.285640544053508
6,layer_1_mha_output_out,layer_3_mha_output_out,1,5,0.04412783355736527,0.28078917934440034,-0.12201019158005356
6,layer_1_mha_output_out,layer_3_mlp_out,1,6,0.1948051634443133,0.648624412993465,-0.3635926187273897
6,layer_1_mha_output_out,layer_4_mha_output_out,1,7,0.10196194270167191,0.38726721796410996,-0.10613927660301
6,layer_1_mha_output_out,layer_4_mlp_out,1,8,0.17676838839834486,0.6039075798351685,-0.31625639315034165
6,layer_1_mha_output_out,layer_5_mha_output_out,1,9,0.056494686681877404,0.3379368872298873,-0.17099004793598097
6,layer_1_mha_output_out,layer_5_mlp_out,1,10,0.22796527196970984,0.6629956498888018,-0.3088105494013467
6,layer_1_mha_output_out,layer_6_mha_output_out,1,11,0.043510553407802965,0.3505623904360865,-0.23132275620676473
6,layer_1_mha_output_out,layer_6_mlp_out,1,12,0.07811379953469455,0.5552951158505832,-0.43998609062451
6,layer_1_mha_output_out,layer_7_mha_output_out,1,13,0.024610189849414987,0.26413564112495364,-0.17297664418140782
6,layer_1_mha_output_out,layer_7_mlp_out,1,14,0.26547876006921267,0.7484737922692861,-0.415903558916607
6,layer_1_mha_output_out,layer_8_mha_output_out,1,15,0.03547770118473115,0.30768523232853295,-0.19532333299677
6,layer_1_mha_output_out,layer_8_mlp_out,1,16,0.24086657801980393,0.7193194216417309,-0.40752362059860436
6,layer_1_mha_output_out,layer_9_mha_output_out,1,17,-0.01189270952601218,0.18335557639595657,-0.24458018415372504
6,layer_1_mha_output_out,layer_9_mlp_out,1,18,0.014439767402802728,0.6712376934738811,-0.6590665608227725
6,layer_1_mha_output_out,layer_10_mha_output_out,1,19,0.025152068247700776,0.23839023259231343,-0.13360725823710534
6,layer_1_mha_output_out,layer_10_mlp_out,1,20,0.3358719394525749,0.8251778633269304,-0.4295244319063467
6,layer_1_mha_output_out,layer_11_mha_output_out,1,21,0.025646375324924753,0.31657495772924465,-0.2397409131029924
