step,cur_step,t_before_wall,t_after_wall,dur_s
1,42,1.788190515092e9,1.788190517255e9,2.1630001068115234
2,43,1.788190517256e9,1.788190517692e9,0.43599987030029297
3,44,1.788190517692e9,1.788190518151e9,0.4590001106262207
4,45,1.788190518152e9,1.788190518576e9,0.4240000247955322
5,46,1.788190518577e9,1.788190519005e9,0.42800021171569824
6,47,1.788190519005e9,1.788190519454e9,0.44899988174438477
7,48,1.788190519454e9,1.788190519916e9,0.46199989318847656
8,49,1.788190519916e9,1.788190520366e9,0.4500000476837158
9,50,1.788190520366e9,1.788190520834e9,0.4680001735687256
10,51,1.788190520836e9,1.788190521263e9,0.4270000457763672
11,52,1.788190521264e9,1.788190521732e9,0.4680001735687256
12,53,1.788190521732e9,1.788190522203e9,0.47099995613098145
13,54,1.788190522203e9,1.788190522636e9,0.432999849319458
14,55,1.788190522636e9,1.788190523113e9,0.47699999809265137
15,56,1.788190523113e9,1.788190523582e9,0.46900010108947754
16,57,1.788190523582e9,1.788190524042e9,0.46000003814697266
17,58,1.788190524043e9,1.788190524613e9,0.5699999332427979
18,59,1.788190524613e9,1.788190525089e9,0.4760000705718994
19,60,1.78819052509e9,1.788190525533e9,0.44300007820129395
20,61,1.788190525534e9,1.788190525991e9,0.4570000171661377
21,62,1.788190525991e9,1.788190526426e9,0.4350001811981201
22,63,1.788190526427e9,1.788190526887e9,0.46000003814697266
23,64,1.788190526887e9,1.788190527316e9,0.4289999008178711
24,65,1.788190527317e9,1.788190527731e9,0.4140000343322754
25,66,1.788190527731e9,1.788190528186e9,0.4550001621246338
26,67,1.788190528187e9,1.788190528626e9,0.43899989128112793
27,68,1.788190528626e9,1.788190529059e9,0.4330000877380371
28,69,1.78819052906e9,1.788190529476e9,0.4160001277923584
29,70,1.788190529476e9,1.788190529953e9,0.47699999809265137
30,71,1.788190529953e9,1.788190530391e9,0.437999963760376
31,72,1.788190530391e9,1.788190530857e9,0.4660000801086426
32,73,1.788190530857e9,1.788190531308e9,0.4509999752044678
33,74,1.788190531308e9,1.788190531763e9,0.4549999237060547
34,75,1.788190531763e9,1.78819053242e9,0.6570000648498535
35,76,1.78819053242e9,1.788190532891e9,0.47099995613098145
36,77,1.788190532891e9,1.788190533373e9,0.48199987411499023
37,78,1.788190533374e9,1.788190533818e9,0.4440000057220459
38,79,1.788190533819e9,1.788190534246e9,0.4270000457763672
39,80,1.788190534246e9,1.788190534686e9,0.440000057220459
40,81,1.788190534686e9,1.788190535136e9,0.4499998092651367
