step,loss,abs_alpha,abs_grad_alpha,grad_theta_norm
1.0,3.9236319065093994,0.0,0.0,0.0
2.0,4.075644493103027,0.0,0.0,0.0
3.0,3.904729127883911,0.0,0.0,0.0
4.0,4.04044246673584,0.0,0.0,0.0
5.0,4.194480895996094,0.0,0.0,0.0
6.0,4.044257640838623,0.0,0.0,0.0
7.0,4.135932445526123,0.0,0.0,0.0
8.0,4.016767978668213,0.0,0.0,0.0
9.0,3.9700822830200195,0.0,0.0,0.0
10.0,3.9732344150543213,0.0,0.0,0.0
11.0,4.209387302398682,0.0,0.0,0.0
12.0,4.31887674331665,0.0,0.0,0.0
13.0,3.791844367980957,0.0,0.0,0.0
14.0,4.232509613037109,0.0,0.0,0.0
15.0,4.067051410675049,0.0,0.0,0.0
16.0,4.0303730964660645,0.0,0.0,0.0
17.0,4.068328380584717,0.0,0.0,0.0
18.0,3.994633913040161,0.0,0.0,0.0
19.0,4.072312831878662,0.0,0.0,0.0
20.0,4.006145477294922,0.0,0.0,0.0
21.0,4.073708534240723,0.0,0.0,0.0
22.0,4.080673694610596,0.0,0.0,0.0
23.0,4.047044277191162,0.0,0.0,0.0
24.0,4.085404396057129,0.0,0.0,0.0
25.0,4.08865213394165,0.0,0.0,0.0
26.0,4.110666751861572,0.0,0.0,0.0
27.0,4.121896743774414,0.0,0.0,0.0
28.0,4.113237380981445,0.0,0.0,0.0
29.0,4.378281593322754,0.0,0.0,0.0
30.0,4.127793312072754,0.0,0.0,0.0
31.0,4.114121913909912,0.0,0.0,0.0
32.0,4.121426105499268,0.0,0.0,0.0
33.0,4.092535972595215,0.0,0.0,0.0
34.0,3.9509880542755127,0.0,0.0,0.0
35.0,3.955604076385498,0.0,0.0,0.0
36.0,3.9669487476348877,0.0,0.0,0.0
37.0,4.065508842468262,0.0,0.0,0.0
38.0,4.112957954406738,0.0,0.0,0.0
39.0,3.9880597591400146,0.0,0.0,0.0
40.0,4.010276794433594,0.0,0.0,0.0
41.0,3.9225282669067383,0.0,0.0,0.0
42.0,4.146989345550537,0.0,0.0,0.0
43.0,4.276208877563477,0.0,0.0,0.0
44.0,4.017284393310547,0.0,0.0,0.0
45.0,3.9154200553894043,0.0,0.0,0.0
46.0,4.084344863891602,0.0,0.0,0.0
47.0,4.128723621368408,0.0,0.0,0.0
48.0,3.890521764755249,0.0,0.0,0.0
49.0,3.9217052459716797,0.0,0.0,0.0
50.0,4.134024620056152,0.0,0.0,0.0
51.0,4.254421710968018,0.0,0.0,0.0
52.0,4.150598526000977,0.0,0.0,0.0
53.0,3.943390369415283,0.0,0.0,0.0
54.0,3.887359380722046,0.0,0.0,0.0
55.0,4.1694183349609375,0.0,0.0,0.0
56.0,4.268500328063965,0.0,0.0,0.0
57.0,4.127159595489502,0.0,0.0,0.0
