step,loss,abs_alpha,abs_grad_alpha,grad_theta_norm
1.0,3.8907949924468994,0.0,0.0,0.0
2.0,4.096552848815918,0.0,0.0,0.0
3.0,4.096956253051758,0.0,0.0,0.0
4.0,4.262890338897705,0.0,0.0,0.0
5.0,3.8115382194519043,0.0,0.0,0.0
6.0,4.004735946655273,0.0,0.0,0.0
7.0,4.170750617980957,0.0,0.0,0.0
8.0,3.8407623767852783,0.0,0.0,0.0
9.0,4.007148265838623,0.0,0.0,0.0
10.0,4.102590084075928,0.0,0.0,0.0
11.0,4.128026485443115,0.0,0.0,0.0
12.0,4.175757884979248,0.0,0.0,0.0
13.0,3.813753843307495,0.0,0.0,0.0
14.0,4.108541488647461,0.0,0.0,0.0
15.0,3.960014581680298,0.0,0.0,0.0
16.0,4.133533477783203,0.0,0.0,0.0
17.0,4.095346450805664,0.0,0.0,0.0
18.0,4.093570709228516,0.0,0.0,0.0
19.0,4.141714572906494,0.0,0.0,0.0
20.0,4.02598762512207,0.0,0.0,0.0
21.0,3.9567668437957764,0.0,0.0,0.0
22.0,4.012282371520996,0.0,0.0,0.0
23.0,3.9972281455993652,0.0,0.0,0.0
24.0,3.951622724533081,0.0,0.0,0.0
25.0,4.016499996185303,0.0,0.0,0.0
26.0,4.029510974884033,0.0,0.0,0.0
27.0,4.264256954193115,0.0,0.0,0.0
28.0,4.224135875701904,0.0,0.0,0.0
29.0,4.068079948425293,0.0,0.0,0.0
30.0,4.18707799911499,0.0,0.0,0.0
31.0,4.129925727844238,0.0,0.0,0.0
32.0,4.107947826385498,0.0,0.0,0.0
33.0,3.8585987091064453,0.0,0.0,0.0
34.0,4.012365341186523,0.0,0.0,0.0
35.0,3.975158214569092,0.0,0.0,0.0
36.0,3.867642402648926,0.0,0.0,0.0
37.0,4.2813591957092285,0.0,0.0,0.0
38.0,4.1894965171813965,0.0,0.0,0.0
39.0,4.106884956359863,0.0,0.0,0.0
40.0,4.251613140106201,0.0,0.0,0.0
41.0,4.088079452514648,0.0,0.0,0.0
42.0,3.999829053878784,0.0,0.0,0.0
43.0,4.135857582092285,0.0,0.0,0.0
44.0,4.070246696472168,0.0,0.0,0.0
45.0,3.867147445678711,0.0,0.0,0.0
46.0,3.936962604522705,0.0,0.0,0.0
47.0,3.963718891143799,0.0,0.0,0.0
48.0,3.820786476135254,0.0,0.0,0.0
49.0,3.9472084045410156,0.0,0.0,0.0
50.0,4.647252559661865,0.0,0.0,0.0
51.0,4.2906646728515625,0.0,0.0,0.0
52.0,4.0071916580200195,0.0,0.0,0.0
53.0,4.1697869300842285,0.0,0.0,0.0
54.0,3.77004337310791,0.0,0.0,0.0
55.0,4.290160655975342,0.0,0.0,0.0
56.0,4.294661045074463,0.0,0.0,0.0
57.0,3.985816717147827,0.0,0.0,0.0
58.0,4.022314548492432,0.0,0.0,0.0
59.0,4.103141784667969,0.0,0.0,0.0
60.0,4.000680923461914,0.0,0.0,0.0
61.0,4.249084949493408,0.0,0.0,0.0
62.0,4.1248579025268555,0.0,0.0,0.0
63.0,4.0378031730651855,0.0,0.0,0.0
64.0,4.143683433532715,0.0,0.0,0.0
65.0,4.072521209716797,0.0,0.0,0.0
66.0,4.253932476043701,0.0,0.0,0.0
67.0,4.114006042480469,0.0,0.0,0.0
68.0,4.134287357330322,0.0,0.0,0.0
69.0,3.916893720626831,0.0,0.0,0.0
70.0,3.9585046768188477,0.0,0.0,0.0
71.0,4.071148872375488,0.0,0.0,0.0
72.0,4.196935176849365,0.0,0.0,0.0
73.0,3.9070045948028564,0.0,0.0,0.0
74.0,4.008050918579102,0.0,0.0,0.0
75.0,3.93669056892395,0.0,0.0,0.0
76.0,4.358104705810547,0.0,0.0,0.0
77.0,3.8655998706817627,0.0,0.0,0.0
78.0,4.193635940551758,0.0,0.0,0.0
79.0,4.216374397277832,0.0,0.0,0.0
80.0,4.080504894256592,0.0,0.0,0.0
81.0,4.126993656158447,0.0,0.0,0.0
82.0,4.164706230163574,0.0,0.0,0.0
83.0,4.235882759094238,0.0,0.0,0.0
84.0,4.029880523681641,0.0,0.0,0.0
85.0,4.174163341522217,0.0,0.0,0.0
86.0,3.949188232421875,0.0,0.0,0.0
87.0,4.099984645843506,0.0,0.0,0.0
88.0,4.06956672668457,0.0,0.0,0.0
89.0,3.8518364429473877,0.0,0.0,0.0
90.0,3.9659433364868164,0.0,0.0,0.0
91.0,3.8127918243408203,0.0,0.0,0.0
92.0,3.940905809402466,0.0,0.0,0.0
93.0,3.8048126697540283,0.0,0.0,0.0
94.0,4.4976301193237305,0.0,0.0,0.0
95.0,3.9658002853393555,0.0,0.0,0.0
96.0,4.007694244384766,0.0,0.0,0.0
97.0,3.682248115539551,0.0,0.0,0.0
98.0,4.220760345458984,0.0,0.0,0.0
99.0,4.146710395812988,0.0,0.0,0.0
100.0,3.941073179244995,0.0,0.0,0.0
101.0,4.01777458190918,0.0,0.0,0.0
102.0,4.07899808883667,0.0,0.0,0.0
103.0,4.157704830169678,0.0,0.0,0.0
104.0,3.867825746536255,0.0,0.0,0.0
105.0,3.877654790878296,0.0,0.0,0.0
106.0,4.145727634429932,0.0,0.0,0.0
107.0,4.022547721862793,0.0,0.0,0.0
108.0,3.968902826309204,0.0,0.0,0.0
109.0,3.8871874809265137,0.0,0.0,0.0
110.0,3.725494623184204,0.0,0.0,0.0
111.0,4.040940761566162,0.0,0.0,0.0
112.0,4.261483192443848,0.0,0.0,0.0
113.0,4.077627182006836,0.0,0.0,0.0
114.0,4.295190334320068,0.0,0.0,0.0
115.0,4.086856842041016,0.0,0.0,0.0
116.0,3.8840227127075195,0.0,0.0,0.0
117.0,4.045174598693848,0.0,0.0,0.0
118.0,4.182839393615723,0.0,0.0,0.0
119.0,3.8711354732513428,0.0,0.0,0.0
120.0,3.9637041091918945,0.0,0.0,0.0
121.0,3.8766400814056396,0.0,0.0,0.0
122.0,4.059130668640137,0.0,0.0,0.0
123.0,4.169613361358643,0.0,0.0,0.0
124.0,4.000726222991943,0.0,0.0,0.0
125.0,4.3456645011901855,0.0,0.0,0.0
126.0,4.199771404266357,0.0,0.0,0.0
127.0,4.288063049316406,0.0,0.0,0.0
128.0,3.8874151706695557,0.0,0.0,0.0
129.0,4.017670154571533,0.0,0.0,0.0
130.0,3.9775173664093018,0.0,0.0,0.0
131.0,4.132557392120361,0.0,0.0,0.0
132.0,3.925039529800415,0.0,0.0,0.0
133.0,4.124495506286621,0.0,0.0,0.0
134.0,3.941305637359619,0.0,0.0,0.0
135.0,4.087827205657959,0.0,0.0,0.0
136.0,4.026981353759766,0.0,0.0,0.0
137.0,4.0288472175598145,0.0,0.0,0.0
138.0,4.316987991333008,0.0,0.0,0.0
139.0,4.018218994140625,0.0,0.0,0.0
140.0,4.154803276062012,0.0,0.0,0.0
141.0,4.290892124176025,0.0,0.0,0.0
142.0,4.2361016273498535,0.0,0.0,0.0
143.0,3.986488103866577,0.0,0.0,0.0
144.0,4.156365871429443,0.0,0.0,0.0
145.0,3.992621898651123,0.0,0.0,0.0
146.0,3.7895755767822266,0.0,0.0,0.0
147.0,3.900205373764038,0.0,0.0,0.0
148.0,3.9681689739227295,0.0,0.0,0.0
149.0,3.9029808044433594,0.0,0.0,0.0
150.0,3.9763708114624023,0.0,0.0,0.0
151.0,4.062841892242432,0.0,0.0,0.0
152.0,4.038219928741455,0.0,0.0,0.0
153.0,4.105825424194336,0.0,0.0,0.0
154.0,3.854241371154785,0.0,0.0,0.0
155.0,3.9386589527130127,0.0,0.0,0.0
156.0,4.1001715660095215,0.0,0.0,0.0
157.0,4.025909423828125,0.0,0.0,0.0
158.0,3.9718146324157715,0.0,0.0,0.0
159.0,3.9140608310699463,0.0,0.0,0.0
160.0,4.020928382873535,0.0,0.0,0.0
161.0,4.054642677307129,0.0,0.0,0.0
162.0,4.193421363830566,0.0,0.0,0.0
163.0,3.9353325366973877,0.0,0.0,0.0
164.0,4.150844097137451,0.0,0.0,0.0
165.0,3.729570150375366,0.0,0.0,0.0
166.0,3.875328779220581,0.0,0.0,0.0
167.0,4.109715461730957,0.0,0.0,0.0
168.0,4.07195520401001,0.0,0.0,0.0
169.0,4.023099899291992,0.0,0.0,0.0
170.0,3.990107536315918,0.0,0.0,0.0
171.0,3.992525815963745,0.0,0.0,0.0
172.0,4.091393947601318,0.0,0.0,0.0
173.0,3.979346990585327,0.0,0.0,0.0
174.0,3.9523115158081055,0.0,0.0,0.0
175.0,3.9628329277038574,0.0,0.0,0.0
176.0,3.926131010055542,0.0,0.0,0.0
177.0,3.9427850246429443,0.0,0.0,0.0
178.0,4.113614082336426,0.0,0.0,0.0
179.0,3.813229560852051,0.0,0.0,0.0
180.0,3.9329700469970703,0.0,0.0,0.0
181.0,4.030660629272461,0.0,0.0,0.0
182.0,4.184479713439941,0.0,0.0,0.0
183.0,3.976836681365967,0.0,0.0,0.0
184.0,4.152784824371338,0.0,0.0,0.0
185.0,4.24799108505249,0.0,0.0,0.0
186.0,4.1577839851379395,0.0,0.0,0.0
187.0,4.043939113616943,0.0,0.0,0.0
188.0,3.8052170276641846,0.0,0.0,0.0
189.0,4.1885175704956055,0.0,0.0,0.0
190.0,3.9441001415252686,0.0,0.0,0.0
191.0,3.974698066711426,0.0,0.0,0.0
192.0,3.9869000911712646,0.0,0.0,0.0
193.0,4.040341854095459,0.0,0.0,0.0
194.0,3.981449842453003,0.0,0.0,0.0
